medcode,readcode,readterm,cat
31897,J62..00,Liver abscess and sequelae of chronic liver disease,Liver disease
31920,F254z00,Partial epilepsy with impairment of consciousness NOS,Other neurological disorders
31950,13L3.12,Schizophrenic child,Psychoses
31971,C046.00,Autoimmune myxoedema,Hypothyroidism
31979,G54z.00,"Endocarditis, valve unspecified",Valvular disease
31984,E13..00,Other nonorganic psychoses,Psychoses
31997,TB00200,"Liver transplant with complication, without blame",Liver disease
32001,N04y200,Adult-onset Still's disease,Rheumatoid arthritis and collagen diseases
32022,B110.00,Malignant neoplasm of cardia of stomach,Solid tumour or leukaemia
32024,B030.00,Malignant neoplasm of upper gum,Solid tumour or leukaemia
32057,F110100,Alzheimer's disease with late onset,Other neurological disorders
32059,G567300,Ventricular pre-excitation,Cardiac arrythmia
32088,Eu30y00,[X]Other manic episodes,Psychoses
32159,E112400,"Single major depressive episode, severe, with psychosis",Psychoses
32174,B202.00,Malignant neoplasm of maxillary sinus,Solid tumour or leukaemia
32193,C11y000,Steroid induced diabetes,Diabetes (uncomplicated)
32213,BB0A.00,"[M]Malignant tumour, fusiform cell type",Solid tumour or leukaemia
32222,E100.00,Simple schizophrenia,Psychoses
32235,G74y.00,Embolism and thrombosis of other specified artery,Peripheral vascular disease
32240,4M22.00,Lymphoma stage III,Lymphoma
32246,ZV10111,[V]Personal history of malignant neoplasm of bronchus,Solid tumour or leukaemia
32249,B822.11,Carcinoma in situ of ear,Solid tumour or leukaemia
32277,A707X00,"Chronic viral hepatitis, unspecified",Liver disease
32288,F254.00,Partial epilepsy with impairment of consciousness,Other neurological disorders
32294,BB5B500,"[M]Glucagonoma, malignant",Solid tumour or leukaemia
32295,E111400,"Recurrent manic episodes, severe, with psychosis",Psychoses
32351,44a4.00,Squamous cell carcinoma antigen level,Solid tumour or leukaemia
32359,ZRbH.00,Perceived control of insulin-dependent diabetes,Diabetes (uncomplicated)
32362,B113.00,Malignant neoplasm of fundus of stomach,Solid tumour or leukaemia
32372,B302100,Malignant neoplasm of thoracic vertebra,Solid tumour or leukaemia
32403,C107.11,Diabetes mellitus with gangrene,Diabetes with end-organ damage
32423,G222.00,Hypertensive renal disease with renal failure,Hypertension with end-organ damage
32435,G110.11,Rheumatic mitral stenosis,Valvular disease
32447,G630.00,Basilar artery occlusion,Other neurological disorders
32472,BB9H.00,[M]Inflammatory carcinoma,Solid tumour or leukaemia
32492,7A41900,Bypass common iliac artery by aorta/com iliac art anast NEC,Peripheral vascular disease
32556,C107.12,Diabetes with gangrene,Diabetes with end-organ damage
32619,66Af.00,Patient diabetes education review,Diabetes (uncomplicated)
32627,C10FN00,Type 2 diabetes mellitus with ketoacidosis,Diabetes (uncomplicated)
32641,BB5RA00,[M]Merkel cell carcinoma,Solid tumour or leukaemia
32649,N003000,Juvenile dermatomyositis,Rheumatoid arthritis and collagen diseases
32653,8BAW.00,Drug dependence self detoxification,Drug abuse
32657,A705100,Acute delta-(super)infection of hepatitis B carrier,Liver disease
32671,G580100,Chronic congestive heart failure,Congestive heart failure
32679,H34z.00,Bronchiectasis NOS,Chronic pulmonary disease
32727,H33z.11,Hyperreactive airways disease,Chronic pulmonary disease
32739,9N0n.00,Seen in community diabetes specialist clinic,Diabetes (uncomplicated)
32768,B325100,Malignant melanoma of breast,Solid tumour or leukaemia
32770,44V3.00,Glucose tol. test diabetic,Diabetes (uncomplicated)
32841,8HHq.00,Referral for guided self-help for depression,Depression
32843,9OK..00,Obesity monitoring admin.,Obesity
32845,Eu92000,[X]Depressive conduct disorder,Depression
32856,J130.00,Acute peptic ulcer,Peptic ulcer disease
32875,1BH1.00,Grandiose delusions,Psychoses
32887,E245.00,Hallucinogen dependence,Drug abuse
32898,8H2S.00,Admit heart failure emergency,Congestive heart failure
32911,9Or..00,Heart failure monitoring administration,Congestive heart failure
32927,Eu10800,[X]Alcohol withdrawal-induced seizure,Alcohol abuse
32930,7912300,Replacement of tricuspid valve NEC,Valvular disease
32941,Eu33313,[X]Recurr severe episodes/major depression+psychotic symptom,Depression
32945,8CL3.00,Heart failure care plan discussed with patient,Congestive heart failure
32953,D011000,Vitamin B12 deficiency anaemia due to dietary causes,Deficiency anaemia
32955,B41y.00,Malignant neoplasm of other site of cervix,Solid tumour or leukaemia
32964,66e0.00,Alcohol abuse monitoring,Alcohol abuse
32976,6146200,Hypertension induced by oral contraceptive pill,Hypertension (uncomplicated)
33012,7936500,Implantation of emergency intravenous cardiac pacemaker,Cardiac arrythmia
33254,C105.00,Diabetes mellitus with ophthalmic manifestation,Diabetes with end-organ damage
33262,G132.00,Mitral insufficiency and aortic stenosis,Valvular disease
33271,B332200,Malignant neoplasm of pinna NEC,Solid tumour or leukaemia
33316,43jG.00,Hepatitis B nucleic acid detection,Liver disease
33333,B62..00,Other malignant neoplasm of lymphoid and histiocytic tissue,Lymphoma
33338,E10y000,Atypical schizophrenia,Psychoses
33343,C10y.00,Diabetes mellitus with other specified manifestation,Diabetes (uncomplicated)
33377,G651.00,Vertebral artery syndrome,Other neurological disorders
33383,E103000,Unspecified paranoid schizophrenia,Psychoses
33388,B071000,Malignant neoplasm of adenoid,Solid tumour or leukaemia
33395,B560200,Secondary and unspec malig neop superficial cervical LN,Metastatic cancer
33410,Eu25z11,[X]Schizoaffective psychosis NOS,Psychoses
33420,D00y.00,Other specified iron deficiency anaemia,Deficiency anaemia
33425,E11zz00,Other affective psychosis NOS,Psychoses
33426,E11yz00,Other and unspecified manic-depressive psychoses NOS,Psychoses
33430,7A19400,Operation on aneurysm of aorta NEC,Peripheral vascular disease
33438,J121000,Chronic duodenal ulcer without mention of complication,Peptic ulcer disease
33444,B221100,Malignant neoplasm of hilus of lung,Solid tumour or leukaemia
33450,H32z.00,Emphysema NOS,Chronic pulmonary disease
33462,E243z00,Cannabis drug dependence NOS,Drug abuse
33469,Eu33200,[X]Recurr depress disorder cur epi severe without psyc sympt,Depression
33497,BB2J.00,"[M]Squamous cell carcinoma, microinvasive",Solid tumour or leukaemia
33499,G665.00,Pure motor lacunar syndrome,Other neurological disorders
33543,G6X..00,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Other neurological disorders
33544,F121.00,Parkinsonism secondary to drugs,Other neurological disorders
33561,B803z00,Carcinoma in situ of colon NOS,Solid tumour or leukaemia
33580,K03..00,Nephritis and nephropathy unspecified,Renal disease
33597,J61yz00,Other non-alcoholic chronic liver disease NOS,Liver disease
33613,G720000,Aneurysm of brachial artery,Peripheral vascular disease
33617,B43z.00,Malignant neoplasm of body of uterus NOS,Solid tumour or leukaemia
33635,E231z00,Chronic alcoholism NOS,Alcohol abuse
33636,BBQ7200,"[M]Teratoma, malignant, NOS",Solid tumour or leukaemia
33645,2J23.00,Hepatitis A - current infection,Liver disease
33658,13N8.00,Bird fancier,Chronic pulmonary disease
33663,H46zz00,Respiratory conditions due to chemical fumes NOS,Chronic pulmonary disease
33670,E01y.00,Other alcoholic psychosis,Psychoses
33673,G56..00,Conduction disorders,Cardiac arrythmia
33682,B337400,Malignant neoplasm of skin of lower leg,Solid tumour or leukaemia
33693,Eu25200,"[X]Schizoaffective disorder, mixed type",Psychoses
33707,E00..00,Senile and presenile organic psychotic conditions,Psychoses
33730,H530000,Single lung abscess,Chronic pulmonary disease
33734,BBEz.00,[M]Naevi or melanoma NOS,Solid tumour or leukaemia
33751,Eu31z00,"[X]Bipolar affective disorder, unspecified",Psychoses
33774,E246200,"Glue sniffing dependence, episodic",Drug abuse
33775,BB5J.00,[M]Adenoid cystic carcinoma,Solid tumour or leukaemia
33807,C107200,"Diabetes mellitus, adult with gangrene",Diabetes with end-organ damage
33830,H56yz00,Other alveolar and parietoalveolar disease NOS,Chronic pulmonary disease
33833,B301.00,Malignant neoplasm of mandible,Solid tumour or leukaemia
33838,E259z00,Nondependent mixed drug abuse NOS,Drug abuse
33839,F144000,Cerebellar ataxia due to alcoholism,Other neurological disorders
33843,B583.00,Secondary malignant neoplasm of brain and spinal cord,Metastatic cancer
33847,Eu25000,"[X]Schizoaffective disorder, manic type",Psychoses
33869,BBgR.00,"[M]Malignant lymphoma, large cell, diffuse NOS",Lymphoma
33871,B122.00,Malignant neoplasm of ileum,Solid tumour or leukaemia
33897,BB4z.00,[M]Transitional cell papilloma or carcinoma NOS,Solid tumour or leukaemia
33907,G132.13,Mitral regurgitation and aortic stenosis,Valvular disease
33914,761Jz00,Operation on gastric ulcer NOS,Peptic ulcer disease
33919,P602z00,Congenital pulmonary stenosis NOS,Valvular disease
33924,7937200,Maintenance of battery of cardiac pacemaker system NEC,Cardiac arrythmia
33925,F233.00,Congenital monoplegia,Paralysis
33942,E242z00,Cocaine drug dependence NOS,Drug abuse
33943,65VE.00,Notification of AIDS,HIV/AIDS
33969,C10A100,Malnutrition-related diabetes mellitus with ketoacidosis,Diabetes (uncomplicated)
33997,B332000,Malignant neoplasm of skin of auricle (ear),Solid tumour or leukaemia
34000,BB80100,[M]Cystadenocarcinoma NOS,Solid tumour or leukaemia
34001,H4z..00,Lung disease due to external agents NOS,Chronic pulmonary disease
34012,B08..00,Malignant neoplasm of hypopharynx,Solid tumour or leukaemia
34015,BB5S200,[M]Bronchiolo-alveolar adenocarcinoma,Solid tumour or leukaemia
34030,BBL0.00,[M]Endometrial stromal sarcoma,Solid tumour or leukaemia
34065,G41y000,Secondary pulmonary hypertension,Pulmonary circulation disorders
34079,F254400,Epileptic automatism,Other neurological disorders
34087,A785200,Cytomegaloviral hepatitis,Liver disease
34089,B62y400,Malignant lymphoma NOS of lymph nodes of axilla and arm,Lymphoma
34096,BB5b.00,[M]Granular cell carcinoma,Solid tumour or leukaemia
34110,BB5R100,"[M]Carcinoid tumour, malignant",Solid tumour or leukaemia
34115,67H3.00,Lifestyle advice regarding drug misuse,Drug abuse
34117,G67y.00,Other cerebrovascular disease OS,Other neurological disorders
34135,14A7.00,H/O: CVA/stroke,Other neurological disorders
34145,B58y600,Secondary malignant neoplasm of testis,Metastatic cancer
34152,G73y000,Diabetic peripheral angiopathy,Diabetes with end-organ damage
34153,7A10200,Axillo-bifemoral bypass graft,Peripheral vascular disease
34159,G742000,Embolism and thrombosis of the brachial artery,Peripheral vascular disease
34168,Eu23z00,"[X]Acute and transient psychotic disorder, unspecified",Psychoses
34202,9Oi1.00,Chronic obstructive pulmonary disease monitoring 2nd letter,Chronic pulmonary disease
34215,9Oi2.00,Chronic obstructive pulmonary disease monitoring 3rd letter,Chronic pulmonary disease
34221,C042.00,Iodine hypothyroidism,Hypothyroidism
34236,Eu20.00,[X]Schizophrenia,Psychoses
34240,G540100,"Mitral incompetence, cause unspecified",Valvular disease
34245,9Om1.00,Stroke/transient ischaemic attack monitoring second letter,Other neurological disorders
34249,Eu11200,[X]Mental and behav dis due to use opioids: dependence syndr,Drug abuse
34252,BBb0.12,[M]Gliosarcoma,Solid tumour or leukaemia
34259,B325300,Malignant melanoma of groin,Solid tumour or leukaemia
34268,C10F200,Type 2 diabetes mellitus with neurological complications,Diabetes with end-organ damage
34269,BB69100,[M]Sebaceous adenocarcinoma,Solid tumour or leukaemia
34282,H50z.00,Empyema NOS,Chronic pulmonary disease
34283,C105z00,Diabetes mellitus NOS with ophthalmic manifestation,Diabetes with end-organ damage
34326,G56y000,Lown-Ganong-Levine syndrome,Cardiac arrythmia
34327,F135200,Drug-induced chorea,Other neurological disorders
34352,BBgG.12,[M]Lymphoblastic lymphoma NOS,Lymphoma
34358,J632.00,Hepatitis in other infectious diseases EC,Liver disease
34375,9Om2.00,Stroke/transient ischaemic attack monitoring third letter,Other neurological disorders
34388,B17z.00,Malignant neoplasm of pancreas NOS,Solid tumour or leukaemia
34389,Eu22000,[X]Delusional disorder,Psychoses
34390,E112000,"Single major depressive episode, unspecified",Depression
34395,BB24.00,[M]Verrucous carcinoma NOS,Solid tumour or leukaemia
34398,9k5..00,Drug misuse - enhanced services administration,Drug abuse
34409,B010000,Malignant neoplasm of base of tongue dorsal surface,Solid tumour or leukaemia
34450,C10FK00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,Diabetes (uncomplicated)
34451,B31..00,Malignant neoplasm of connective and other soft tissue,Solid tumour or leukaemia
34473,6679,Epilepsy treatment started,Other neurological disorders
34528,3882,Diabetes well being questionnaire,Diabetes (uncomplicated)
34541,8HVU.00,Private referral to diabetologist,Diabetes (uncomplicated)
34637,K080z00,Renal osteodystrophy NOS,Renal disease
34638,G731.00,Thromboangiitis obliterans,Peripheral vascular disease
34648,K080100,Renal dwarfism,Renal disease
34651,H500100,Empyema with bronchopleural fistula,Chronic pulmonary disease
34659,H53z.00,Abscess of lung and mediastinum NOS,Chronic pulmonary disease
34669,K03y200,Other interstitial nephritis,Renal disease
34673,D303500,Deficiency of factor XII or Hageman factor,Coagulopathy
34696,E201400,Hysterical paralysis,Paralysis
34742,B23z.00,Malignant neoplasm of pleura NOS,Solid tumour or leukaemia
34744,G244.00,Hypertension secondary to endocrine disorders,Hypertension (uncomplicated)
34758,G641.11,Cerebral embolus,Other neurological disorders
34792,F250500,Lennox-Gastaut syndrome,Other neurological disorders
34795,6657.12,Started lithium,Psychoses
34823,B800500,Carcinoma in situ of cheek,Solid tumour or leukaemia
34869,G140412,"Tricuspid incompetence, cause unspecified",Valvular disease
34878,B308300,Malignant neoplasm of medial cuneiform,Solid tumour or leukaemia
34879,BB5J.11,[M]Cylindroid adenocarcinoma,Solid tumour or leukaemia
34880,N10..00,Inflammatory spondylopathies,Rheumatoid arthritis and collagen diseases
34891,BBF2.00,[M]Sarcomatosis NOS,Solid tumour or leukaemia
34893,ZV02612,[V]Hepatitis Australia antigen carrier,Liver disease
34912,C109400,Non-insulin dependent diabetes mellitus with ulcer,Diabetes with end-organ damage
34926,B625.00,Letterer-Siwe disease,Lymphoma
34932,G543400,Pulmonary valve stenosis with insufficiency,Valvular disease
34944,Eu02z13,[X] Primary degenerative dementia NOS,Other neurological disorders
34946,B833200,Carcinoma in situ of vagina,Solid tumour or leukaemia
34966,Eu20z00,"[X]Schizophrenia, unspecified",Psychoses
34976,F11y.00,Other cerebral degeneration,Other neurological disorders
34984,BB80.00,[M]Cystadenoma and carcinoma,Solid tumour or leukaemia
34998,K020.00,Chronic proliferative glomerulonephritis,Renal disease
35014,B622.00,Sezary's disease,Lymphoma
35034,BBGJ.11,[M]Fibroxanthosarcoma,Solid tumour or leukaemia
35039,B163.00,"Malignant neoplasm, overlapping lesion of biliary tract",Solid tumour or leukaemia
35053,B57..00,Secondary malig neop of respiratory and digestive systems,Metastatic cancer
35058,B812100,Carcinoma in situ of main bronchus,Solid tumour or leukaemia
35065,K03y.00,Other nephritis and nephrosis unspecified,Renal disease
35092,Dyu0200,[X]Other vitamin B12 deficiency anaemias,Deficiency anaemia
35105,C104100,"Diabetes mellitus, adult onset, with renal manifestation",Diabetes with end-organ damage
35106,F221.11,Spastic foot,Paralysis
35107,C104z00,Diabetes mellitus with nephropathy NOS,Diabetes with end-organ damage
35113,Byu9.00,[X]Malignant neoplasm of urinary tract,Solid tumour or leukaemia
35116,2G5L.00,O/E - Left diabetic foot - ulcerated,Diabetes with end-organ damage
35124,G570z00,Paroxysmal supraventricular tachycardia NOS,Cardiac arrythmia
